,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
0,Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,6-Speed A/T,Black,Black,True,Yes,10300,2023
1,Hyundai,Palisade SEL,2021,34742,Gasoline,8-Speed Automatic,Moonlight Cloud,Gray,True,Yes,38005,2023
2,Lexus,RX 350 RX 350,2022,22372,Gasoline,Automatic,Blue,Black,False,No,54598,2023
3,INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,7-Speed A/T,Black,Black,False,Yes,15500,2023
4,Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,8-Speed Automatic,Glacier White Metallic,Black,False,No,34999,2023
5,Acura,ILX 2.4L,2016,136397,Gasoline,F,Silver,Ebony.,False,No,14798,2023
6,Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,6-Speed A/T,Blue,Black,False,Yes,31000,2023
7,BMW,740 iL,2001,242000,Gasoline,A/T,Green,Green,False,Yes,7300,2023
8,Lexus,RC 350 F Sport,2021,23436,Gasoline,6-Speed A/T,Black,Black,False,Yes,41927,2023
9,Tesla,Model X Long Range Plus,2020,34000,No,A/T,Black,Black,False,Yes,69950,2023
10,Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,Automatic,Fuji White,Pimento / Ebony,False,No,73897,2023
11,Aston,Martin DBS Superleggera,2019,22770,Gasoline,8-Speed A/T,Silver,Black,False,Yes,184606,2023
12,Toyota,Supra 3.0 Premium,2021,12500,Gasoline,A/T,Yellow,Black,False,Yes,53500,2023
13,Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,False,Yes,62000,2023
14,Jaguar,F-TYPE,2020,15903,Gasoline,Automatic,Silver,Black,False,No,47998,2023
15,Land,Rover LR4 HSE,2013,79800,Gasoline,A/T,White,Black,False,Yes,29990,2023
16,Mercedes-Benz,Metris Base,2021,1685,Gasoline,9-Speed Automatic,Gray,White,False,Yes,250000,2023
17,Dodge,Challenger SXT,2013,61074,Gasoline,A/T,Black,Gray,False,Yes,16800,2023
18,Nissan,350Z Enthusiast,2003,74000,Gasoline,6-Speed M/T,Purple,–,False,Yes,11000,2023
19,Jaguar,F-TYPE R,2018,35250,Gasoline,8-Speed A/T,Green,Black,False,Yes,68750,2023
20,Genesis,GV70 3.5T Sport,2023,5400,Gasoline,8-Speed A/T,Green,Beige,No,No,60000,2023
21,Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,A/T,Blue,Black,False,Yes,4500,2023
22,BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,Automatic,White,Beige,False,No,38598,2023
23,Ford,F-150 XLT,2023,2823,Gasoline,Automatic,Iconic Silver Metallic,Black,False,Yes,58504,2023
24,Chevrolet,Suburban RST,2021,52000,Gasoline,10-Speed A/T,Blue,Black,False,Yes,61000,2023
25,Hyundai,Elantra N Base,2022,11650,Gasoline,Transmission w/Dual Shift Mode,Black,Black,False,Yes,32300,2023
26,Nissan,Sentra SR,2016,96541,Gasoline,Automatic,Blue,Black,False,No,13998,2023
27,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,A/T,Gray,Black,False,Yes,59995,2023
